     	!=    	(    	)    	*    	+    	,    	-    	;    	<    	<=    	=    	==    	>    	>=    	[    	]    	and   	begin  	call   	do    	else   	end   	false  	id    	if    integer 	not   	num   	or    	proc   	real   record  	then   	true   	while  	#    	B    	B1    	B2    	C    	D    	E    	E1    	E2    	EL    	L    	M    	M0    	N    	N1    	N2    	P    	P'    	R    	S    	S0    	S1    	S2    	S3    	T    	X    
0    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s553   	s513   	--    	--    	--    	--    	s503   	s545   	--    	--    	--    	--    	s2    	--    	--    	--    	--    	s529   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	507   	--    	--    	--    	--    	--    	1    	--    	--    	500   	--    	511   	512   	--    	--    	--    	
180   	--    	s231   	--    	--    	--    	--    	s345   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s389   	s350   	--    	--    	s225   	s354   	--    	--    	--    	--    	--    	s388   	--    	--    	181   	391   	230   	--    	--    	362   	360   	349   	--    	355   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
181   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s182   	--    	--    	--    	--    	--    	--    	--    	--    	s219   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
182   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	183   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
183   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s185   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	184   	--    	--    	--    	--    	--    	
184   	--    	--    	--    	--    	--    	--    	--    	r43   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r43   	r43   	--    	--    	r43   	--    	r43   	r43   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r43   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
185   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s197   	s163   	--    	--    	--    	--    	s153   	s189   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s179   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	157   	--    	--    	--    	--    	--    	--    	--    	--    	188   	--    	161   	162   	186   	--    	--    	
186   	--    	--    	--    	--    	--    	--    	--    	s148   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s187   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
187   	--    	--    	--    	--    	--    	--    	--    	r46   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r46   	r46   	--    	--    	r46   	--    	r46   	r46   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r46   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
188   	--    	--    	--    	--    	--    	--    	--    	r50   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	r52   	--    	--    	r50   	--    	r52   	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	151   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
189   	--    	s407   	--    	--    	--    	--    	s345   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s437   	s350   	--    	--    	s401   	s354   	--    	--    	--    	--    	--    	s436   	--    	--    	190   	439   	406   	--    	--    	410   	360   	349   	--    	355   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
190   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s395   	--    	--    	--    	s191   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
191   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	192   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
192   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s440   	--    	--    	--    	--    	--    	--    	s201   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s210   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	200   	193   	--    	--    	--    	--    	
193   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r53   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	194   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
194   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s195   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
195   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	196   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
196   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s197   	--    	--    	--    	--    	--    	--    	s189   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s179   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	177   	178   	--    	--    	--    	
197   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s197   	s163   	--    	--    	--    	--    	s153   	s189   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s179   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	157   	--    	--    	--    	--    	--    	--    	--    	--    	188   	--    	161   	162   	198   	--    	--    	
198   	--    	--    	--    	--    	--    	--    	--    	s148   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s199   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
199   	--    	--    	--    	--    	--    	--    	--    	r48   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r48   	r48   	--    	--    	r48   	--    	r48   	r48   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r48   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
200   	--    	--    	--    	--    	--    	--    	--    	r45   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r45   	r45   	--    	--    	r45   	--    	r45   	r45   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r45   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
201   	--    	s407   	--    	--    	--    	--    	s345   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s437   	s350   	--    	--    	s401   	s354   	--    	--    	--    	--    	--    	s436   	--    	--    	202   	439   	406   	--    	--    	410   	360   	349   	--    	355   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
202   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s395   	--    	--    	--    	s203   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
203   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	204   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
204   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s392   	--    	--    	--    	--    	--    	--    	s201   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s210   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	205   	--    	--    	--    	--    	
205   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r53   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	206   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
206   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s207   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
207   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	208   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
208   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s392   	--    	--    	--    	--    	--    	--    	s201   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s210   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	209   	--    	--    	--    	--    	
209   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r42   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
210   	--    	r52   	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r52   	r52   	--    	--    	r52   	r52   	--    	--    	--    	--    	--    	r52   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	211   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
211   	--    	s231   	--    	--    	--    	--    	s345   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s389   	s350   	--    	--    	s225   	s354   	--    	--    	--    	--    	--    	s388   	--    	--    	212   	391   	230   	--    	--    	362   	360   	349   	--    	355   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
212   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s213   	--    	--    	--    	--    	--    	--    	--    	--    	s219   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
